Дата,Субъект РФ,Инициаторы действия,Вид населенного пункта,Населенный пункт,Кластер,Тема,Объект,Вид объекта,Действие,Ссылка,,
14.05.2020,Белгородская область,8. Неизвестно,2.Село,Валуйки,1.Война,1.4. Великая Отечественная война/Вторая мировая война,Дети войны ,0. Обезличенные,1. Установка,http://belgorodtv.ru/?p=167689,,
05.07.2020,Белгородская область ,8. Неизвестно,1.Город,Белгород ,2.СоцПол,2.9 Иное,Жертвы политических репрессий,2. Группа,1. Установка,https://bel.aif.ru/society/details/v_belgorode_torzhestvenno_otkryli_pamyatnik_novomuchenikam,,
05.08.2020,Белгородская область ,3. Региональные власти,1.Город,Белгород ,1.Война,1.4. Великая Отечественная война/Вторая мировая война,Дети войны,0. Обезличенные,1. Установка,http://belgorodtv.ru/?p=171512,,
06.08.2020,Белгородская область ,8. Неизвестно,2.Село,Пушкарное ,1.Война,1.4. Великая Отечественная война/Вторая мировая война,Инвалиды войны ,0. Обезличенные,1. Установка,http://belgorodtv.ru/?p=171580,,
10.08.2020,Белогородская область ,6. Частное лицо,1.Город,Белгород,2.СоцПол,2.4. Религия,Протопоп Аваакум ,1. Личность,1. Установка,https://bel.aif.ru/society/details/v_belgorode_po_prosbe_staroobryadcev_otkryli_pamyatnyy_znak_avvakumu,,
08.05.2021,Белогородская область ,2. Федеральные власти,2.Село,Гора-Подол,1.Война,1.5. Локальные конфликты,БРМ-1К,0. Обезличенные,1. Установка,http://belgorodtv.ru/?p=197735,,
09.05.2021,Белгородская область,8. Неизвестно,2.Село,Готовьё,1.Война,1.4. Великая Отечественная война/Вторая мировая война,"Односельчане, погибшие во время ВОВ",2. Группа,2. Реставрация,http://belgorodtv.ru/?p=197818,,
21.06.2021,Белгородская область ,8. Неизвестно,2.Село,Борисовка,2.СоцПол,2.5. Здравоохранение,Владимир Куликовский,1. Личность,1. Установка,http://belgorodtv.ru/?p=203027,,
04.09.2021,Белгородская область,8. Неизвестно,3.Иное,Краснояружский район,1.Война,1.4. Великая Отечественная война/Вторая мировая война,Участники ВОВ,2. Группа,2. Реставрация,"http://belgorodtv.ru/?p=212341",,
13.09.2021,Белгородская область,8. Неизвестно,1.Город,Белгород,1.Война,1.6. Иное,Пограничники всех поколений,0. Обезличенные,1. Установка,"http://belgorodtv.ru/?p=213519",,
03.12.2021,Белгородская область,8. Неизвестно,1.Город,Белгород,2.СоцПол,2.7 Цари/императоры/вожди,Петр 1 ,1. Личность,1. Установка,https://www.bel.kp.ru/online/news/4541465/,,
08.07.2013,Брянская область,8. Неизвестно,1.Город,Брянск,2.СоцПол,2.8. ФОИВЫ,Погибшие сотрудники брянского ОМОНа,2. Группа,1. Установка,https://bryansk.bezformata.com/listnews/let-muzhestva-i-otvagi-foto/12728113/,,
30.08.2013,Брянская область,8. Неизвестно,2.Село,Косицы,1.Война,1.4. Великая Отечественная война/Вторая мировая война,Воины и местные жители,2. Группа,2. Реставрация,http://br-tvr.ru/index.php/obshchestvo/8675--,,
05.09.2013,Брянская область,8. Неизвестно,2.Село,Старые Умысличи,1.Война,1.4. Великая Отечественная война/Вторая мировая война,Калужские партизаны,2. Группа,1. Установка,https://gorodbryansk.info/2013/09/memorial-16/,,
04.11.2013,Брянская область,4. GONGO – неправительственные но работающие на государство организации,2.Село,Жуковка,1.Война,1.5. Локальные конфликты,Участники локальных войн,2. Группа,1. Установка,https://www.youtube.com/watch?v=ztF5WX0zfxo,,
12.04.2014,Брянская область,8. Неизвестно,1.Город,Брянск,2. Социальная сфера,2.2. Образование и наука,Юрий Гагарин,1. Личность,1. Установка,https://ria.ru/20140412/1003631170.html    http://br-tvr.ru/index.php/obshchestvo/10137----p,Добавлено,
04.09.2014,Брянская область,8. Неизвестно,1.Город,Клинцы,3.Иное,3.Иное,Ликвидаторы аварии на ЧАЭС,2. Группа,1. Установка,http://www.br-tvr.ru/index.php?option=com_content&view=article&id=14114:error404,,
20.11.2014,Брянская область,8. Неизвестно,1.Город,Брянск,3.Иное,3.Иное,Пропавшие дети,2. Группа,1. Установка,https://www.bryansk.kp.ru/online/news/1902544/,,
23.12.2014,Брянская область,8. Неизвестно,1.Город,Брянск,2.СоцПол,2.8. ФОИВЫ,Спасатели,0. Обезличенные,1. Установка,http://www.br-tvr.ru/index.php?option=com_content&task=view&id=12070,,
07.05.2015,Брянская область,6. Частное лицо,3.Иное,Солдатов бугор,1.Война,1.4. Великая Отечественная война/Вторая мировая война,Неизвестный солдат,0. Обезличенные,1. Установка,https://www.bryansk.kp.ru/online/news/2049396/,,
13.05.2015,Брянская область,8. Неизвестно,1.Город,Клинцы,1.Война,1.4. Великая Отечественная война/Вторая мировая война,Текстильщики,0. Обезличенные,2. Реставрация,http://www.bryansk.kp.ru/online/news/2054619/,,
03.07.2015,Брянская область,8. Неизвестно,2.Село,Веребское,1.Война,1.1. Отечественная война 1812 г.,Летчики 127 авиаполка,0. Обезличенные,1. Установка,http://www.bryansk.kp.ru/online/news/2099653/,,
21.09.2015,Брянская область,8. Неизвестно,1.Город,Стародуб,2.СоцПол,2.3. Искусство,Александр Рубц,1. Личность,1. Установка,http://www.bryansk.kp.ru/online/news/2169389/,,
11.05.2016,Брянская область,6. Частное лицо,2.Село,Каружа,1.Война,1.4. Великая Отечественная война/Вторая мировая война,Участники ВОВ,2. Группа,1. Установка,http://www.br-tvr.ru/index.php/obshchestvo/16842-pamyatnik-v-karuzhe,,
22.06.2016,Брянская область,8. Неизвестно,2.Село,Крупец,1.Война,1.4. Великая Отечественная война/Вторая мировая война,Погибшие во время немецкой оккупации,0. Обезличенные,1. Установка,http://www.mngz.ru/russia-world-sensation/2028913-v-sele-krupec-brasovskogo-rayona-osvyatili-pamyatnik-mirnym-zhitelyam-pogibshim-v-gody-nemecko-fashistskoy-okkupacii.html,,
28.07.2016,Брянская область,8. Неизвестно,1.Город,Брянск,2.СоцПол,2.8. ФОИВЫ,Машина ГИБДД,0. Обезличенные,1. Установка,http://www.br-tvr.ru/index.php/obshchestvo/17364-80-let-gibdd,,
01.08.2016,Брянская область,8. Неизвестно,2.Село,Погар,1.Война,1.5. Локальные конфликты,Десатники-участники локальных конфликтов,0. Обезличенные,1. Установка,http://www.mngz.ru/russia-world-sensation/2120946-golubye-berety-pogara-postavili-pamyatnik-doblestnoy-desanture.html,,
06.08.2016,Брянская область,8. Неизвестно,1.Город,Брянск,1.Война,1.4. Великая Отечественная война/Вторая мировая война,Самоходная установка,0. Обезличенные,1. Установка,http://www.mngz.ru/russia-world-sensation/2131742-v-bryanske-otkryli-pamyatnik-zveroboy.html,,
10.09.2016,Брянская область,8. Неизвестно,2.Село,Сеща,1.Война,1.6. Иное,Самолет Ан-124,0. Обезличенные,1. Установка,http://www.mngz.ru/russia-world-sensation/2223573-v-bryanskoy-sesche-otkryli-pamyatnik-samoletu-ruslan.html,,
23.09.2016,Брянская область,8. Неизвестно,1.Город,Брянск,1.Война,1.4. Великая Отечественная война/Вторая мировая война,Бойцы-железнодорожники,2. Группа,1. Установка,http://www.br-tvr.ru/index.php/obshchestvo/18292-otkrytie-pamyatnika-voinam-sapjoram,,
23.09.2016,Брянская область,8. Неизвестно,1.Город,Брянск,1.Война,1.4. Великая Отечественная война/Вторая мировая война,"Евреи, расстрелянные в годы ВОВ",0. Обезличенные,1. Установка,http://www.mngz.ru/russia-world-sensation/2258346-v-bryanskom-lesu-otkryli-pamyatnik-evreyam-rasstrelyannym-fashistami.html,,
23.09.2016,Брянская область,6. Частное лицо,1.Город,Новозыбков ,1.Война,1.4. Великая Отечественная война/Вторая мировая война,Жертвы Холокоста,0. Обезличенные,1. Установка,https://ria.ru/20160923/1477660283.html   http://www.novozybkov.ru/beads/article/1119 ,,
26.09.2016,Брянская область,8. Неизвестно,1.Город,Стародуб,1.Война,1.4. Великая Отечественная война/Вторая мировая война,Ушедшие на фронт ,0. Обезличенные,1. Установка,http://www.br-tvr.ru/index.php/obshchestvo/18299-den-goroda-v-starodube2016-09-23-16-26-36,,
09.11.2016,Брянская область,8. Неизвестно,3.Иное,Ковшовское лестничество,1.Война,1.4. Великая Отечественная война/Вторая мировая война,Неизвестный солдат,0. Обезличенные,2. Реставрация,https://www.mngz.ru/russia-world-sensation/2394806-pod-bryanskom-otrestavrirovali-pamyatnik-neizvestnomu-partizanu.html,,
24.11.2016,Брянская область,8. Неизвестно,1.Город,Клинцы,1.Война,1.3. Революция и Гражданская война,Михаил Калинин,1. Личность,2. Реставрация,http://www.br-tvr.ru/index.php/obshchestvo/18935-v-klintsakh-otrestavrirovan-pamyatnik-mikhailu-kalininu,,
11.05.2017,Брянская область,5. НПО,2.Село,Жуковка,1.Война,1.4. Великая Отечественная война/Вторая мировая война,Бойцы 50 Армии,0. Обезличенные,1. Установка,http://www.br-tvr.ru/index.php/obshchestvo/20397-pamyatnik-bojtsam-50-j-armii-v-zhukovke,,
25.05.2017,Брянская область,4. GONGO – неправительственные но работающие на государство организации,1.Город,Брянск,1.Война,1.6. Иное,Фёдор Ушаков,1. Личность,1. Установка,http://www.br-tvr.ru/index.php/kultura/20543-pamyatnik-admiralu-fjodoru-ushakovu-v-bryanske                                ,,
23.06.2017,Брянская область,6. Частное лицо,2.Село,Сдесловка,1.Война,1.4. Великая Отечественная война/Вторая мировая война,Партизаны ,0. Обезличенные,1. Установка,http://www.br-tvr.ru/index.php/obshchestvo/20829-pamyatnik-partizanam-v-trubchevskom-rajone,,
31.07.2017,Брянская область,6. Частное лицо,1.Город,Брянск,3.Иное,3.Иное,Огурец,0. Обезличенные,1. Установка,https://bryansktoday.ru/2017073155080/society/V-tsentre-Bryanska-ustanovili-pamyatnik-ogurtsu.html,,
02.08.2017,Брянская область,8. Неизвестно,1.Город,Стародуб,1.Война,1.5. Локальные конфликты,Воины-десантники,0. Обезличенные,1. Установка,https://www.mngz.ru/russia-world-sensation/3207663-v-bryanskoy-oblasti-otkryli-pamyatnik-voinam-desantnikam.html                                                                                               https://news.nashbryansk.ru/2017/08/03/routine/v-starodube/,,
09.08.2017,Брянская область,8. Неизвестно,2.Село,Шаблыкино,1.Война,1.4. Великая Отечественная война/Вторая мировая война,Жертвы нацизма,0. Обезличенные,1. Установка,https://www.mngz.ru/russia-world-sensation/3226457-v-poselke-shablykino-otkryli-pamyatnik-zhertvam-nacizma.html,,
28.08.2017,Брянская область,6. Частное лицо,1.Город,Севск,1.Война,1.4. Великая Отечественная война/Вторая мировая война,Воины 28 Алтайской отдельной лыжной бригады,0. Обезличенные,1. Установка,http://www.br-tvr.ru/index.php/obshchestvo/21463-v-sevske-otkryli-pamyatnik-zashchitnikam-goroda,,
04.09.2017,Брянская область,8. Неизвестно,1.Город,Брянск,2.СоцПол,2.9 Иное,Братья Могилевцевы,1. Личность,1. Установка,https://www.mngz.ru/russia-world-sensation/3308126-v-semenovskom-skvere-bryanska-ustanovili-pamyatnik-bratyam-mogilevcevym.html,,
11.09.2017,Брянская область,8. Неизвестно,1.Город,Брянск,2.СоцПол,2.9 Иное,Паровоз,0. Обезличенные,2. Реставрация,http://www.br-tvr.ru/index.php/obshchestvo/21606-v-bryanske-restavriruyutsya-pamyatniki-i-mesta-zakhoronenij,,
20.09.2017,Брянская область,8. Неизвестно,1.Город,Брянск,1.Война,1.4. Великая Отечественная война/Вторая мировая война,Иван Кузнецов,1. Личность,1. Установка,http://www.br-tvr.ru/index.php/obshchestvo/21714-v-karacheve-otkryli-pamyatnik-ivanu-kuznetsovu,,
